chip_id,country,cluster
g2_0000018944-0000011776,brazil,2
g10-3_00032_11,croatia,0
g6_00110_12,denmark,2
g4_0000001536-0000000000,portugal,0
g0_00004_7,luxembourg,0
g2_00004_9,south_africa,2
g79_00046_0,austria,0
1592589,rwanda,0
g0_0856,india,1
g2_0458,india,1
g212_00032_8,france,0
g6_00036_1,denmark,2
g83_00046_14,austria,0
g21_00096_6,slovakia,0
g15-1_00062_6,finland,0
g2_00007_5,slovakia,1
g11_00010_12,lithuania,0
g42_0000000000-0000000512,vietnam,0
g15-1_00009_7,finland,0
g212_00003_17,france,0
g6-0_00083_13,sweden,0
g41_00057_2,latvia,1
g82_00036_3,austria,1
g165_00003_0,france,0
g165_00057_9,france,0
g23_00100_15,netherlands,1
g15_00153_9,estonia,1
g13-5_00097_15,sweden,1
g53_0000001024-0000001024,vietnam,0
g14-1_00134_4,finland,0
g23_00078_2,netherlands,0
g0_1929,india,1
g2_00030_12,slovakia,2
g22_00002_11,denmark,2
g14-1_00115_5,finland,0
g3_00014_16,south_africa,2
g4_00030_12,spain,0
g2_0000011776-0000006656,brazil,2
g2_00053_9,belgium,0
g6-0_00007_7,sweden,1
g6-0_00021_17,sweden,2
g6_00014_2,slovenia,1
g21_00090_14,slovakia,2
g25_00013_13,latvia,2
g6_00027_18,belgium,0
g31_00062_15,latvia,1
g13_00041_8,slovenia,0
g11_00089_2,lithuania,0
g41_00061_1,latvia,1
g6_00037_2,denmark,1
g3_00009_17,spain,0
g212_00006_7,france,0
g14-1_00117_15,finland,0
g1_00012_14,germany,2
g13_00020_7,slovenia,0
g7_00038_2,spain,0
g10-3_00054_8,croatia,0
g22_00057_13,denmark,2
g16_00053_18,netherlands,0
g165_00058_14,france,0
g11_00107_7,lithuania,0
g23_00086_6,netherlands,0
g0_00035_11,luxembourg,0
g6_00024_2,slovenia,0
g41_00013_4,latvia,1
g22_00026_3,denmark,2
g11_00102_16,lithuania,0
g2_00073_13,slovakia,1
g2_1800,india,1
g14-1_00144_9,finland,0
g1_0000007168-0000003072,brazil,2
g42_0000001024-0000000000,vietnam,0
g15_00149_5,estonia,1
g13-5_00131_1,sweden,0
g31_00016_0,latvia,0
g22_0000001024-0000001536,portugal,0
g8_00073_4,lithuania,0
g15_00006_8,estonia,1
g15-1_00015_5,finland,0
g94_00018_5,austria,0
g11_00106_4,lithuania,2
g6_00086_5,denmark,2
g83_00030_11,austria,0
g22_00018_5,denmark,2
g77_00030_7,austria,0
g6_00040_5,belgium,0
g2_00009_8,south_africa,2
g31_00065_11,latvia,0
g3_00000_15,south_africa,1
g6-0_00094_5,sweden,0
g11_00014_12,lithuania,1
g4_00016_4,spain,0
g10-3_00006_1,croatia,0
g41_00025_7,latvia,2
g79_00028_12,austria,0
g212_00024_16,france,0
g3_0000004096-0000002048,brazil,2
g14-1_00121_9,finland,1
g23_00056_13,netherlands,0
g10-3_00066_5,croatia,1
g82_00020_5,austria,0
g13-5_00135_5,sweden,1
g6_00050_14,denmark,2
g13-5_00129_10,sweden,1
g6_00045_2,slovenia,0
g10_00010_0,estonia,0
g7_00020_12,spain,1
g2_00022_16,slovakia,2
g8_00143_2,lithuania,0
g14-1_00119_0,finland,1
g8_00091_3,lithuania,1
g15_00090_10,estonia,0
g4_00032_18,spain,0
g2_00057_8,slovakia,2
g1_00017_9,germany,1
g13-5_00086_4,sweden,1
g10-3_00066_3,croatia,0
g14-2_00006_5,croatia,0
g6_00104_8,denmark,2
g212_00086_12,france,0
g94_00024_1,austria,0
g21_00012_16,slovakia,2
g11_00070_17,lithuania,0
g21_00039_5,slovakia,2
g78_00034_14,austria,0
g21_00057_4,slovakia,1
g13-5_00013_14,sweden,1
g0_1498,india,1
g19_00014_13,latvia,0
g7_00023_7,spain,0
g6_00036_15,denmark,2
g6-0_00111_14,sweden,0
g15-1_00054_13,finland,0
g13-5_00070_16,sweden,2
g24_0000000000-0000000512,vietnam,0
g78_00049_6,austria,0
g4_00010_8,spain,0
g13_00022_16,slovenia,0
g21_00030_16,slovakia,2
g6_00004_14,slovenia,1
g6-0_00053_11,sweden,0
g23_00052_16,netherlands,0
g13_00037_10,slovenia,0
g16_00075_18,netherlands,1
g1_00015_5,germany,2
g1_00030_7,spain,0
g14-2_00072_13,croatia,0
g0_00036_2,luxembourg,0
g2_00054_9,belgium,0
g6_00018_7,denmark,2
g41_00030_4,latvia,0
g13_00040_10,slovenia,0
g2_00102_1,slovakia,2
g2_00103_8,slovakia,0
g77_00021_12,austria,0
g21_00120_1,slovakia,2
g19_00023_15,latvia,1
g165_00097_1,france,0
g212_00012_7,france,0
g14-1_00068_3,finland,0
g95_00047_10,austria,0
g13_00028_9,slovenia,0
g2_0172,india,1
g13-5_00027_8,sweden,1
g212_00045_15,france,0
g2_00016_5,germany,0
g6-0_00058_18,sweden,2
g50_00030_3,latvia,0
g11_00004_12,lithuania,0
g31_00030_0,latvia,0
g16_00085_12,netherlands,0
g94_00020_2,austria,0
g6-0_00051_3,sweden,1
g6_00023_16,denmark,2
g79_00033_9,austria,0
g23_00103_4,netherlands,0
g78_00029_0,austria,1
g23_00029_18,netherlands,1
g21_00031_5,slovakia,2
g2_00071_6,slovakia,2
g0_00042_18,luxembourg,0
g6_00017_13,slovenia,0
g15-1_00049_17,finland,0
g10-3_00069_0,croatia,0
g2_00031_2,belgium,0
g212_00073_17,france,0
g165_00061_11,france,1
g0_0354,india,1
g6_00021_6,slovenia,1
g8_00005_10,lithuania,0
g2_0000001024-0000009728,brazil,2
g2_00022_4,slovakia,2
g13_00050_16,slovenia,0
g212_00080_4,france,0
g45_0000000512-0000000512,vietnam,0
g13-5_00034_5,sweden,2
g15-1_00081_13,finland,1
g6-0_00062_4,sweden,2
g21_00093_6,slovakia,0
g1_00011_4,south_africa,0
g14-1_00123_2,finland,0
g2_0000023040-0000008704,brazil,1
g13-5_00036_3,sweden,0
g16_00091_2,netherlands,0
g10_00168_9,estonia,1
g3_00002_6,south_africa,0
g2_1798,india,1
g0_1713,india,1
g2_00012_11,germany,2
g11_00027_3,lithuania,1
g21_00113_8,slovakia,2
g26_00034_5,latvia,0
g23_00098_16,netherlands,0
g50_00044_6,latvia,1
g13-5_00062_4,sweden,0
g10-3_00020_5,croatia,0
g79_00038_4,austria,0
g6_00003_7,denmark,2
g7_00008_15,spain,0
g2_00035_2,belgium,0
g0_0297,india,1
g31_00039_17,latvia,0
g6_00111_5,denmark,2
g2_0000004608-0000013312,brazil,2
g0_1002,india,1
g16_00022_4,netherlands,1
g78_00029_12,austria,0
g212_00090_8,france,1
g10_00133_12,estonia,0
g6_00007_1,belgium,0
g2_0000004096-0000011776,brazil,2
g1_00007_0,spain,0
g14-2_00024_4,croatia,0
g94_00002_17,austria,0
1592630,rwanda,0
g2_0000017920-0000012288,brazil,2
g11_00089_0,lithuania,0
g14-2_00017_1,croatia,0
g11_00124_15,lithuania,0
g0_0731,india,1
g165_00068_1,france,0
g2_00011_9,germany,0
g11_00054_8,lithuania,2
g26_0000001024-0000000512,vietnam,0
g13-5_00061_15,sweden,0
g15-1_00076_8,finland,1
g10_00082_14,estonia,1
g2_00028_15,belgium,0
g8_00112_5,lithuania,1
g14-2_00021_2,croatia,2
g22_00080_4,denmark,2
g6_00024_0,belgium,1
g8_00045_1,lithuania,1
g23_00084_0,netherlands,0
g0_1209,india,1
g2_00022_4,belgium,0
g0_1333,india,1
g82_00033_9,austria,0
g6-0_00037_1,sweden,0
g13-5_00112_17,sweden,1
g6_00025_7,denmark,2
g4_00035_14,spain,0
g10-3_00060_10,croatia,0
g212_00046_17,france,0
g212_00057_2,france,0
g2_0000019456-0000018432,brazil,1
g2_00087_6,slovakia,2
g26_00029_9,latvia,1
g14-2_00048_15,croatia,0
g13-5_00111_17,sweden,0
g0_00026_3,luxembourg,0
g21_00015_2,slovakia,0
g21_00105_4,slovakia,2
g212_00095_4,france,0
g15_00127_12,estonia,0
g31_00049_11,latvia,0
g32_0000000000-0000000512,vietnam,0
1592836,rwanda,0
g15-1_00015_0,finland,0
g3_00011_17,south_africa,0
g2_00006_18,germany,0
1592870,rwanda,0
g4_0000004096-0000012800,brazil,2
g14-1_00021_15,finland,0
g83_00033_15,austria,0
g6-0_00108_6,sweden,2
g13-5_00102_3,sweden,0
g22_00036_7,denmark,2
g25_00024_17,latvia,1
g83_00017_9,austria,0
g14-1_00005_5,finland,0
g4_0000009728-0000011776,brazil,2
g95_00054_11,austria,0
g2_00007_7,south_africa,2
g6_00085_7,denmark,2
g31_00003_0,latvia,0
g4_00025_1,spain,0
g4_0000009728-0000010240,brazil,2
g14-2_00051_5,croatia,0
g0_00030_16,luxembourg,0
g6-0_00069_14,sweden,0
g22_00082_16,denmark,2
g6_0000008192-0000000000,kenya,1
g10-3_00076_8,croatia,0
g95_00031_9,austria,0
g5_0000001024-0000001536,portugal,0
g2_00008_2,south_africa,0
g14-2_00009_10,croatia,0
g0_00018_16,luxembourg,0
g6-0_00104_8,sweden,0
g0_00019_14,luxembourg,0
g16_00098_13,netherlands,0
g11_00061_3,lithuania,0
g8_00057_4,lithuania,0
g31_00025_11,latvia,0
g6-0_00078_18,sweden,0
g78_00019_4,austria,0
g2_00013_18,south_africa,2
g14-1_00021_0,finland,1
g2_0000015872-0000015360,brazil,2
g2_00052_13,belgium,0
g23_00040_9,netherlands,1
g14-1_00013_12,finland,0
g8_00048_16,lithuania,0
g31_00032_15,latvia,1
g19_00055_13,latvia,1
g212_00067_3,france,2
g14-2_00084_14,croatia,0
g13_00035_11,slovenia,0
g13-5_00105_10,sweden,1
g2_00049_6,belgium,0
g16_00093_18,netherlands,0
g6-0_00006_12,sweden,0
g212_00053_0,france,0
g4_00040_18,spain,0
g77_00040_1,austria,0
g79_00022_6,austria,0
g6_00043_13,denmark,2
g4_0000008704-0000000512,brazil,1
g13-5_00096_16,sweden,1
g2_00017_15,germany,0
g13_00042_0,slovenia,0
g212_00060_18,france,0
g2_00017_10,slovakia,0
g2_1898,india,1
g15_00139_18,estonia,1
g165_00088_9,france,0
1592617,rwanda,0
g0_00025_18,luxembourg,0
g212_00099_10,france,1
g14-2_00087_7,croatia,0
g16_00006_5,netherlands,0
g15-1_00084_1,finland,0
g23_00094_11,netherlands,1
g31_00066_13,latvia,0
g6_00011_4,belgium,0
g6_00087_12,denmark,2
g14-1_00126_18,finland,0
g77_00028_7,austria,1
g50_00032_0,latvia,0
g212_00064_18,france,0
g0_1921,india,1
g10_00119_11,estonia,0
g2_00016_15,germany,2
g0_00041_17,luxembourg,1
g10-3_00047_1,croatia,0
g95_00053_10,austria,0
g2_0000004096-0000003072,brazil,2
g6_00016_6,belgium,1
g77_00013_12,austria,0
g25_00018_0,latvia,0
g0_00027_18,luxembourg,0
g212_00014_4,france,0
g212_00043_13,france,1
g10_00108_5,estonia,1
g0_00005_11,luxembourg,0
g14-1_00044_18,finland,0
g41_00007_7,latvia,0
g2_00061_6,slovakia,0
g6-0_00066_11,sweden,1
g15-1_00058_10,finland,0
g14-1_00115_0,finland,0
g95_00054_6,austria,0
g15-1_00034_18,finland,1
g23_00066_12,netherlands,0
g16_00010_5,netherlands,0
g6_0000001536-0000000512,portugal,1
g7_00024_5,spain,0
g1_00011_16,south_africa,0
g14-1_00117_11,finland,0
g14-2_00086_8,croatia,0
g13-5_00099_10,sweden,0
g14-1_00138_11,finland,0
g16_00045_9,netherlands,1
g6_00012_8,denmark,2
g0_1165,india,1
g0_0032,india,1
g14-1_00030_18,finland,0
g10-3_00081_6,croatia,0
g41_00065_2,latvia,0
g14-2_00040_13,croatia,0
g10_0000009728-0000003072,kenya,1
g8_00143_16,lithuania,0
g6-0_00032_2,sweden,0
g10-3_00045_14,croatia,0
g16_00004_15,netherlands,0
g0_00033_13,luxembourg,0
g1_00017_1,germany,2
g15_00040_3,estonia,0
g79_00047_11,austria,0
g8_00115_15,lithuania,1
g11_00016_10,lithuania,2
g15-1_00155_8,finland,1
g10_00080_13,estonia,0
g26_00032_2,latvia,0
g19_00049_7,latvia,2
g8_00100_16,lithuania,0
g13-5_00122_8,sweden,2
g8_00050_15,lithuania,1
g0_0000001536-0000000512,vietnam,0
g0_1140,india,1
g8_00112_6,lithuania,1
g26_00058_5,latvia,0
1592693,rwanda,0
g21_00080_12,slovakia,0
g16_00047_14,netherlands,1
g11_00024_8,lithuania,0
g6_00019_1,denmark,2
g7_0000007680-0000001024,kenya,1
g1_00006_3,south_africa,0
g13-5_00112_2,sweden,1
g11_00025_4,lithuania,2
g15_00065_6,estonia,0
g15_00014_18,estonia,1
g22_00078_8,denmark,2
g79_00016_6,austria,1
g6_00026_4,belgium,0
g13-5_00061_18,sweden,0
g0_1116,india,1
g77_00023_14,austria,0
g23_00007_9,netherlands,1
g14-1_00129_3,finland,0
g4_00030_10,spain,0
g2_00044_18,belgium,0
g10_00134_0,estonia,0
g4_0000009728-0000000512,brazil,2
g15_00012_9,estonia,0
g15-1_00061_14,finland,0
g2_00026_1,belgium,0
g25_00057_14,latvia,2
g1_00015_16,germany,0
g13-5_00110_11,sweden,1
g10-3_00040_18,croatia,0
g42_0000001024-0000000512,vietnam,0
g10_00014_7,estonia,1
g2_0000008192-0000005632,brazil,2
g2_0000012288-0000010752,brazil,2
g6_00044_18,belgium,0
g8_00109_0,lithuania,1
1592733,rwanda,0
g2_00020_18,belgium,0
g41_00028_16,latvia,1
g14-1_00071_17,finland,0
g26_00057_14,latvia,0
g10-3_00049_12,croatia,0
g16_00102_9,netherlands,0
g0_0000000512-0000000000,vietnam,0
g2_0000011776-0000011776,brazil,2
g6-0_00005_4,sweden,0
g15_00118_5,estonia,0
g15-1_00127_9,finland,1
g13_00006_18,slovenia,0
g11_00012_12,lithuania,0
g14-2_00064_17,croatia,2
g10_00063_16,estonia,0
g15-1_00061_11,finland,0
g1_00024_10,spain,0
g3_00008_2,south_africa,2
g19_00038_8,latvia,1
g8_00100_5,lithuania,0
g16_00029_17,netherlands,0
g15_00029_2,estonia,0
g41_00013_0,latvia,0
g6-0_00019_11,sweden,0
g21_00044_3,slovakia,1
g165_00061_5,france,0
g10-3_00078_18,croatia,0
g54_0000000000-0000000000,vietnam,0
g1_0000000512-0000000000,portugal,0
g14-2_00030_7,croatia,0
g25_00029_2,latvia,0
g0_00003_2,luxembourg,0
g6-0_00017_10,sweden,0
g31_00052_3,latvia,0
g43_0000001024-0000000000,vietnam,0
g8_00132_2,lithuania,0
g212_00085_12,france,0
g2_0000011264-0000008704,brazil,2
g6_00045_3,belgium,0
g2_0000013312-0000007680,brazil,2
g0_0361,india,1
g165_00038_0,france,0
g7_00019_18,spain,1
g0_1916,india,1
g0_0998,india,1
g2_00041_9,slovakia,2
g6_00083_13,denmark,2
g10_00021_14,estonia,0
g6_00081_5,denmark,2
g0_00017_0,luxembourg,0
g11_00007_10,lithuania,0
g2_00015_4,germany,2
g31_00006_3,latvia,0
g2_00020_7,belgium,0
g10-3_00078_16,croatia,0
g14-2_00085_15,croatia,0
g77_00035_14,austria,0
g7_00009_11,spain,0
g2_00026_18,slovakia,2
g16_00016_15,netherlands,0
g41_00059_8,latvia,1
g14-1_00053_13,finland,0
g7_00011_11,spain,0
g21_00004_14,slovakia,1
g23_00068_5,netherlands,0
g14-1_00039_0,finland,0
g2_00005_8,belgium,0
g6_00082_4,denmark,2
g6_00010_10,belgium,0
g10_00003_18,estonia,1
g1_0000000000-0000000512,portugal,0
g2_00092_6,slovakia,2
g165_00097_8,france,0
g31_00034_6,latvia,0
g25_00040_10,latvia,0
g2_0000001536-0000009728,brazil,2
g212_00039_16,france,0
g15_00117_11,estonia,1
g8_00027_10,lithuania,0
g212_00099_0,france,0
g0_00021_0,luxembourg,0
g3_00001_7,south_africa,0
g13-5_00062_18,sweden,0
g2_00017_16,germany,0
g0_1979,india,1
g22_00013_13,denmark,2
g2_00094_14,slovakia,2
g50_00029_12,latvia,1
g15-1_00071_18,finland,0
g50_00059_7,latvia,1
g13-5_00130_16,sweden,0
g5_0000000000-0000001024,portugal,0
g0_00045_13,luxembourg,0
g83_00010_15,austria,0
g21_00107_2,slovakia,1
g6-0_00090_1,sweden,0
g14-2_00046_16,croatia,0
g2_0000016896-0000011776,brazil,1
g82_00002_8,austria,0
g5_0000001536-0000001024,portugal,0
g14-2_00016_13,croatia,0
g14-2_00048_11,croatia,1
g6_00037_14,denmark,2
g15-1_00003_7,finland,0
g6_00031_10,denmark,2
g82_00017_6,austria,0
g82_00047_6,austria,1
g31_00044_0,latvia,1
g19_00036_17,latvia,0
g95_00033_18,austria,0
g14-2_00003_15,croatia,0
g10_00134_17,estonia,1
g2_00040_1,slovakia,2
g78_00053_2,austria,0
g1_0000001536-0000002048,vietnam,0
g15_00153_4,estonia,1
g13_00049_9,slovenia,0
g14-1_00089_2,finland,0
g26_00061_0,latvia,0
g31_00048_1,latvia,0
g2_00107_17,slovakia,2
g15_00016_7,estonia,0
g25_00063_13,latvia,0
g8_00111_2,lithuania,0
g79_00019_18,austria,0
g23_00003_16,netherlands,1
g6_00022_12,slovenia,0
g82_00051_2,austria,1
g212_00055_5,france,1
g41_00053_16,latvia,2
g2_00003_4,south_africa,0
g10-3_00082_8,croatia,0
g31_00041_12,latvia,0
g7_00019_9,spain,0
g26_00040_2,latvia,1
g26_00002_18,latvia,0
g16_00039_8,netherlands,0
g6_00019_12,denmark,2
g3_00014_15,south_africa,0
g6_00041_15,belgium,0
g11_00040_18,lithuania,0
g6_00015_13,slovenia,0
g14-2_00084_16,croatia,0
g31_00006_8,latvia,1
g25_00007_14,latvia,0
g14-1_00122_12,finland,0
g165_00041_17,france,0
g6-0_00029_0,sweden,0
g23_00087_14,netherlands,0
g1_00021_4,spain,0
g14-2_00047_5,croatia,0
g15_00043_14,estonia,0
g14-1_00073_12,finland,0
g7_00011_18,spain,0
g13_00033_14,slovenia,0
g8_00087_8,lithuania,0
g15_00065_7,estonia,1
g8_00077_12,lithuania,1
g10-3_00069_8,croatia,0
g6-0_00109_13,sweden,2
g83_00002_14,austria,0
g1_0000001536-0000000512,vietnam,0
g6_00012_17,belgium,0
g7_00032_0,spain,0
g11_00060_2,lithuania,1
g13-5_00083_6,sweden,0
g95_00025_10,austria,0
g21_00005_9,slovakia,1
g10-3_00051_17,croatia,0
g16_00087_4,netherlands,0
g14-2_00096_18,croatia,0
g2_0000017408-0000012800,brazil,2
g1_00020_18,spain,0
g21_00062_17,slovakia,2
g10_00127_11,estonia,2
g82_00030_0,austria,0
g19_00014_4,latvia,1
1592703,rwanda,0
g6_00052_4,slovenia,1
g6_00013_8,denmark,2
g41_00054_17,latvia,0
1592604,rwanda,0
g13-5_00033_13,sweden,0
g16_00074_9,netherlands,0
g15_00092_12,estonia,1
g2_0000013824-0000009216,brazil,2
g14-1_00012_4,finland,0
g212_00064_6,france,0
g2_0000016896-0000017408,brazil,2
g212_00019_6,france,0
g2_00055_13,slovakia,0
g11_00118_16,lithuania,0
g212_00096_11,france,0
g94_00015_17,austria,0
g15_00024_11,estonia,1
g21_00016_13,slovakia,1
g14-2_00032_8,croatia,0
g2_0000025600-0000011264,brazil,2
g14-2_00004_15,croatia,0
g6-0_00110_18,sweden,0
g51_0000000512-0000000512,vietnam,0
g6_00064_5,denmark,2
g165_00011_9,france,0
g2_00008_6,south_africa,2
g19_00035_0,latvia,1
g10_00037_4,estonia,1
g22_00040_5,denmark,2
g8_00130_9,lithuania,1
g1_00001_8,south_africa,0
g13-5_00104_15,sweden,0
g13-5_00042_2,sweden,0
g2_0000017408-0000015872,brazil,2
g15_00160_1,estonia,0
g10_00115_0,estonia,1
g1_00012_9,south_africa,2
g2_00015_14,belgium,0
g0_00015_16,luxembourg,0
g2_00039_0,belgium,0
g13-5_00082_9,sweden,0
g2_00011_1,germany,0
g14-2_00017_7,croatia,0
g6_00039_4,belgium,1
g212_00056_8,france,0
g11_00059_8,lithuania,1
g16_00100_14,netherlands,1
g22_00016_10,denmark,2
g212_00034_17,france,0
g23_00100_12,netherlands,0
g21_00004_1,slovakia,1
g13-5_00067_15,sweden,2
g14-1_00052_16,finland,0
g25_00006_10,latvia,0
g6-0_00060_3,sweden,1
g11_00024_14,lithuania,0
g0_00021_16,luxembourg,0
g29_0000000512-0000001024,vietnam,0
g50_00016_17,latvia,1
g2_00042_12,slovakia,2
g15-1_00115_5,finland,0
g7_00029_11,spain,0
g6_00043_18,belgium,0
g6-0_00101_15,sweden,2
g6_00087_0,denmark,2
g2_00034_14,belgium,0
g21_00108_2,slovakia,2
